Country,Region,Population,Area,Pop. Density,Infant mortality (per 1000 births),GDP ($ per capita),Birthrate,Deathrate
Azerbaijan,C.W. OF IND. STATES,7961619,86600,91.9,81.74,3400,20.74,9.75
Madagascar,SUB-SAHARAN AFRICA,18595469,587040,31.7,76.83,800,41.41,11.11
Comoros,SUB-SAHARAN AFRICA,690948,2170,318.4,74.93,700,36.93,8.2
Eritrea,SUB-SAHARAN AFRICA,4786994,121320,39.5,74.87,700,34.33,9.6
Haiti,LATIN AMER. & CARIB,8308504,27750,299.4,73.45,1600,36.44,12.17
Turkmenistan,C.W. OF IND. STATES,5042920,488100,10.3,73.08,5800,27.61,8.6
Pakistan,ASIA,165803560,803940,206.2,72.44,2100,29.74,8.23
Gambia. The,SUB-SAHARAN AFRICA,1641564,11300,145.3,72.02,1700,39.37,12.25
Cambodia,ASIA,13881427,181040,76.7,71.48,1900,26.9,9.06
Uzbekistan,C.W. OF IND. STATES,27307134,447400,61,71.1,1700,26.36,7.84
Mauritania,SUB-SAHARAN AFRICA,3177388,1030700,3.1,70.89,1800,40.99,12.16
Burundi,SUB-SAHARAN AFRICA,8090068,27830,290.7,69.29,600,42.22,13.46
Swaziland,SUB-SAHARAN AFRICA,1136334,17363,65.5,69.27,4900,27.41,29.74
Cameroon,SUB-SAHARAN AFRICA,17340702,475440,36.5,68.26,1800,33.89,13.47
Uganda,SUB-SAHARAN AFRICA,28195754,236040,119.5,67.83,1400,47.35,12.24
Zimbabwe,SUB-SAHARAN AFRICA,12236805,390580,31.3,67.69,1900,28.01,21.84
Burma,ASIA,47382633,678500,69.8,67.24,1800,17.91,9.83
Nepal,ASIA,28287147,147181,192.2,66.98,1400,30.98,9.31
Togo,SUB-SAHARAN AFRICA,5548702,56785,97.7,66.61,1500,37.01,9.83
Bangladesh,ASIA,147365352,144000,1023.4,62.6,1900,15.5,8.27
Sudan,SUB-SAHARAN AFRICA,41236378,2505810,16.5,62.5,1900,34.53,8.97
Mayotte,SUB-SAHARAN AFRICA,201234,374,538.1,62.4,2600,40.95,7.7
South Africa,SUB-SAHARAN AFRICA,44187637,1219912,36.2,61.81,10700,18.2,22
Yemen,NEAR EAST,21456188,527970,40.6,61.5,800,42.89,8.3
Kenya,SUB-SAHARAN AFRICA,34707817,582650,59.6,61.47,1000,39.72,14.02
Maldives,ASIA,359008,300,1196.7,56.52,3900,34.81,7.06
India,ASIA,1095351995,3287590,333.2,56.29,2900,22.01,8.18
